Channel,X,Y
Fp1.,0.3474025974025974,0.8376623376623378
Fpz.,0.49891774891774887,0.8636363636363638
Fp2.,0.6352813852813852,0.8419913419913421
Af7.,0.23484848484848483,0.787878787878788
Af3.,0.3582251082251082,0.7575757575757577
Afz.,0.49891774891774887,0.7640692640692641
Af4.,0.6482683982683982,0.7662337662337663
Af8.,0.7521645021645021,0.787878787878788
F7..,0.15043290043290045,0.7251082251082251
F5..,0.24134199134199133,0.7077922077922079
F3..,0.33225108225108224,0.6731601731601732
F1..,0.4188311688311688,0.6774891774891776
Fz..,0.501082251082251,0.6753246753246754
F2..,0.5725108225108225,0.6796536796536797
F4..,0.6612554112554112,0.6861471861471862
F6..,0.7435064935064934,0.7012987012987013
F8..,0.8257575757575757,0.7272727272727273
Ft7.,0.10930735930735933,0.645021645021645
Fc5.,0.2132034632034632,0.6341991341991342
Fc3.,0.3127705627705628,0.6082251082251083
Fc1.,0.41233766233766234,0.6038961038961039
Fcz.,0.49242424242424243,0.6038961038961039
Fc2.,0.5746753246753247,0.6082251082251083
Fc4.,0.6742424242424242,0.6168831168831169
Fc6.,0.7694805194805194,0.6298701298701299
Ft8.,0.8582251082251081,0.6406926406926408
T9..,0.07683982683982685,0.5108225108225108
T7..,0.17424242424242423,0.5173160173160174
C5..,0.2586580086580087,0.5173160173160174
C3..,0.3495670995670995,0.5173160173160174
C1..,0.4296536796536796,0.5173160173160174
Cz..,0.4945887445887446,0.5216450216450217
C2..,0.5725108225108225,0.5238095238095238
C4..,0.6525974025974026,0.5194805194805195
C6..,0.7435064935064934,0.5216450216450217
T8..,0.8214285714285714,0.525974025974026
T10.,0.9101731601731601,0.5194805194805195
Tp7.,0.12012987012987011,0.3744588744588745
Cp5.,0.2067099567099567,0.38961038961038963
Cp3.,0.29761904761904767,0.3982683982683983
Cp1.,0.3971861471861472,0.4004329004329005
Cpz.,0.48376623376623373,0.4112554112554113
Cp2.,0.553030303030303,0.4112554112554113
Cp4.,0.6396103896103896,0.406926406926407
Cp6.,0.7413419913419913,0.406926406926407
Tp8.,0.8495670995670995,0.3961038961038962
P7..,0.15692640692640694,0.2640692640692641
P5..,0.25,0.2857142857142857
P3..,0.33658008658008653,0.3030303030303031
P1..,0.4274891774891775,0.30952380952380953
Pz..,0.4945887445887446,0.31818181818181823
P2..,0.5595238095238095,0.31385281385281394
P4..,0.6504329004329004,0.30952380952380953
P6..,0.7435064935064934,0.29220779220779225
P8..,0.8322510822510822,0.27056277056277056
Po7.,0.26948051948051943,0.183982683982684
Po3.,0.38203463203463206,0.21428571428571433
Poz.,0.49891774891774887,0.21428571428571433
Po4.,0.6244588744588744,0.21212121212121218
Po8.,0.7348484848484849,0.1861471861471862
O1..,0.36471861471861466,0.14718614718614723
Oz..,0.488095238095238,0.13636363636363638
O2..,0.6266233766233766,0.13636363636363638
Iz..,0.49242424242424243,0.07142857142857145
